edad,sexo,altura,bmi,peso,h_sueno,c_sueno,n_estres,h_movil,t_pantalla,pasos,i_ejercicio,m_ejercicio,alim_enteros,alim_procesados,g_proteina,g_fibra,h_social,h_sol,l_agua,n_alcohol,t_meditacion,bienestar_fisico,bienestar_mental
31.0,0,1.6,15.25,39.02,7.3,6.8,3.5,2.9,3.9,6945.0,1.5,53.0,7.0,2.5,113.9,41.8,5.8,1.4,2.8,2.8,18.0,83.53,65.8
20.0,1,1.77,22.61,70.43,6.5,5.8,5.3,3.8,6.1,6834.0,3.1,42.0,2.8,9.3,120.5,27.4,6.4,1.4,1.7,1.6,15.0,54.08,60.68
47.0,0,1.68,13.8,38.83,6.2,6.5,6.0,3.2,5.4,6720.0,3.8,57.0,5.8,2.9,80.4,18.3,5.5,2.4,2.4,0.6,6.0,79.91,58.44
42.0,1,1.68,23.16,65.2,5.3,5.2,7.6,5.9,8.3,3912.0,1.0,0.0,6.3,5.2,94.7,31.5,3.7,1.8,2.4,0.2,1.0,46.54,9.61
20.0,1,1.76,30.44,94.65,6.0,4.7,5.6,4.4,5.4,5414.0,2.5,25.0,5.4,5.8,72.2,15.6,5.7,0.3,2.7,4.6,8.0,55.42,48.12
31.0,1,1.73,25.28,75.41,5.0,3.4,5.7,2.8,3.2,6509.0,2.4,35.0,5.7,6.2,51.0,16.2,5.2,1.2,1.8,4.5,2.0,40.67,45.41
61.0,0,1.75,18.72,57.05,6.6,5.9,3.3,3.3,5.9,7030.0,1.8,45.0,2.8,5.6,75.2,18.6,6.9,2.2,0.9,0.2,44.0,63.54,81.92
29.0,0,1.78,22.01,69.53,5.6,4.7,4.4,5.7,9.2,5511.0,4.1,34.0,6.7,2.4,79.2,38.2,6.6,2.0,2.0,3.2,10.0,66.28,48.0
25.0,0,1.67,25.09,70.27,6.9,6.4,3.1,6.4,7.4,7824.0,2.1,52.0,7.3,4.2,82.9,23.0,5.1,1.8,1.4,1.2,6.0,80.6,64.92
41.0,0,1.65,28.28,77.09,5.6,5.6,5.4,6.3,9.9,4435.0,2.6,17.0,7.0,1.1,70.8,5.5,3.2,2.4,1.6,0.8,22.0,76.69,42.91
64.0,0,1.61,19.02,49.5,6.5,5.6,5.8,5.1,7.4,8587.0,1.2,67.0,8.1,0.3,75.3,34.7,3.7,1.1,1.8,2.7,10.0,86.62,48.4
29.0,1,1.63,29.55,78.89,6.1,4.6,7.5,3.6,5.6,6377.0,3.9,44.0,6.4,3.1,89.8,22.5,3.9,1.7,1.8,1.9,6.0,69.36,41.06
50.0,1,1.94,7.85,29.43,7.5,5.7,3.4,0.5,2.1,6651.0,4.2,43.0,7.0,3.2,74.6,10.2,4.4,0.0,2.1,3.0,25.0,73.76,65.3
54.0,0,1.8,18.7,60.55,6.3,6.4,3.6,4.4,5.1,5125.0,3.8,17.0,6.3,5.3,100.9,22.5,5.5,1.1,2.4,0.2,30.0,72.16,75.75
29.0,0,1.59,24.73,62.68,6.6,5.0,5.5,4.0,7.0,7601.0,1.4,58.0,7.4,2.4,103.6,29.2,6.4,2.3,1.8,0.8,17.0,77.11,48.33
52.0,0,1.59,31.28,79.5,6.3,6.0,5.2,4.2,5.4,5884.0,3.6,26.0,2.8,6.5,137.6,28.2,4.9,1.1,2.2,0.8,1.0,49.13,55.97
35.0,1,1.74,23.27,70.34,6.8,6.2,6.2,4.1,5.3,4795.0,1.3,10.0,4.2,6.1,112.5,39.4,5.0,1.0,2.0,0.8,13.0,63.44,57.51
48.0,1,1.74,16.09,48.92,6.0,5.8,7.3,2.0,5.0,6110.0,3.1,29.0,9.2,1.3,94.9,18.2,5.3,0.5,2.6,1.4,22.0,82.49,49.21
48.0,1,1.74,18.16,55.23,5.5,5.4,8.9,4.8,5.0,7000.0,3.2,46.0,1.1,9.4,77.6,25.4,4.0,2.5,1.9,0.7,2.0,57.75,14.51
43.0,0,1.68,25.87,72.98,6.9,5.8,5.9,4.9,5.4,6347.0,3.3,50.0,5.7,4.1,95.9,19.4,3.1,2.0,2.0,1.2,4.0,76.62,48.3
22.0,1,1.69,24.09,68.81,6.6,5.7,5.7,5.0,7.0,7027.0,3.5,48.0,8.3,0.0,96.5,12.7,1.5,2.3,1.8,0.9,32.0,89.5,48.46
57.0,1,1.73,20.58,61.31,4.5,3.5,8.9,5.4,7.7,5511.0,3.0,30.0,5.8,3.3,79.7,32.1,3.6,0.0,1.9,2.7,0.0,44.4,8.28
33.0,0,1.71,21.55,62.79,6.3,5.8,4.8,4.9,7.4,7421.0,1.0,66.0,5.2,6.2,105.7,28.7,5.9,1.3,1.5,1.9,21.0,72.91,56.3
27.0,1,1.52,34.71,80.44,6.1,4.1,6.3,3.4,5.1,7122.0,3.5,54.0,6.3,3.9,62.0,27.3,3.6,1.2,1.5,2.1,10.0,60.76,45.96
20.0,0,1.68,22.01,62.23,7.2,6.7,4.5,3.9,8.4,7582.0,3.1,58.0,5.3,4.4,85.1,28.4,4.5,1.2,2.5,0.5,9.0,78.83,51.9
46.0,1,1.63,25.79,68.68,6.5,5.5,5.1,4.1,5.9,5154.0,2.1,17.0,6.1,5.1,101.1,19.5,5.9,0.9,1.4,0.8,0.0,65.91,57.36
50.0,0,1.71,34.91,102.55,6.5,6.3,6.0,4.2,5.9,4528.0,1.0,0.0,4.6,4.2,84.2,17.0,6.0,1.2,1.8,0.0,26.0,54.33,66.02
19.0,1,1.94,12.94,48.64,6.1,6.0,5.0,5.5,6.7,5771.0,4.5,19.0,8.2,1.6,85.9,25.3,2.8,2.3,2.6,0.2,7.0,86.93,52.28
42.0,1,1.73,14.12,42.22,7.2,5.7,5.0,5.0,7.1,9790.0,4.2,94.0,8.8,1.3,87.2,34.3,7.0,0.0,1.8,0.6,12.0,94.34,55.77
29.0,1,1.67,29.14,81.75,7.3,6.7,3.3,7.1,9.7,7075.0,3.7,47.0,5.7,3.8,73.3,37.9,7.3,3.3,2.5,0.1,17.0,81.3,66.52
48.0,1,1.77,19.01,59.82,4.8,4.4,9.7,7.3,10.5,9411.0,2.3,89.0,3.2,6.9,113.5,31.4,2.7,2.0,1.6,1.8,18.0,51.02,0.0
26.0,0,1.74,21.58,65.23,4.9,1.9,5.3,4.1,4.6,6235.0,1.0,31.0,5.0,4.9,69.6,25.2,3.4,1.5,1.4,10.0,47.0,20.87,50.95
50.0,0,1.73,19.39,58.28,6.8,6.3,3.9,0.5,2.3,6008.0,3.8,29.0,5.6,3.0,96.4,27.2,7.4,2.4,1.0,0.2,11.0,69.28,79.8
36.0,0,1.75,21.62,66.1,4.7,3.1,6.9,5.9,8.3,5708.0,3.4,29.0,7.0,3.2,98.3,25.1,4.7,0.0,2.8,3.4,8.0,51.49,27.01
62.0,0,1.86,27.03,93.98,6.5,5.6,4.9,3.2,5.8,7021.0,2.6,32.0,4.0,4.7,71.0,16.8,0.6,0.8,1.3,0.3,46.0,68.65,64.29
24.0,1,1.61,31.67,82.03,5.0,3.6,7.3,2.8,4.8,3727.0,1.0,0.0,4.5,5.7,91.5,25.2,2.2,1.4,2.4,2.2,15.0,25.81,31.96
34.0,0,1.74,27.46,82.93,6.7,6.0,4.8,3.4,5.9,4779.0,3.8,1.0,7.0,4.4,71.8,14.3,4.5,2.9,1.4,2.1,5.0,61.61,57.49
23.0,1,1.63,18.44,48.76,5.2,3.7,6.8,3.3,4.5,6107.0,3.2,46.0,7.9,1.8,117.8,24.0,2.7,1.5,2.8,4.7,2.0,55.26,35.38
61.0,1,1.74,17.33,52.73,6.5,6.1,6.9,4.9,8.5,8173.0,3.0,63.0,4.8,4.1,67.2,38.1,4.2,2.0,3.3,0.2,28.0,78.86,47.49
59.0,1,1.63,10.36,27.41,7.1,5.6,6.9,1.7,4.7,10995.0,3.1,105.0,3.3,6.5,76.9,31.6,5.1,0.9,1.0,0.8,7.0,74.31,37.43
30.0,0,1.67,20.83,57.86,8.1,7.4,1.0,2.4,3.0,4846.0,3.7,30.0,10.0,0.0,65.5,17.6,7.9,2.0,1.3,0.2,16.0,86.67,88.99
49.0,1,1.68,30.01,84.35,7.2,6.8,4.4,4.5,5.4,4710.0,2.1,11.0,7.6,3.0,62.8,24.4,4.4,3.2,2.5,1.0,10.0,66.58,64.78
56.0,1,1.78,24.59,77.75,4.8,2.4,3.6,4.9,5.9,5232.0,3.4,15.0,5.5,4.4,121.8,18.3,7.1,2.5,2.3,4.9,3.0,35.17,53.16
44.0,0,1.77,21.2,66.68,6.0,4.6,5.3,5.0,7.6,8222.0,2.1,68.0,7.7,4.0,100.9,24.5,7.9,1.4,2.5,3.0,14.0,79.2,56.35
43.0,1,1.6,27.2,69.67,7.2,5.2,1.4,2.8,3.5,8186.0,4.3,67.0,5.8,5.4,92.8,33.3,7.9,2.2,1.7,2.6,1.0,70.12,80.02
29.0,1,1.7,20.54,59.67,6.3,5.4,1.7,2.5,4.2,4988.0,3.5,15.0,7.7,2.1,76.9,30.2,5.6,2.1,3.2,1.5,8.0,73.87,71.74
22.0,0,1.64,27.06,73.07,3.9,2.4,9.2,3.2,5.7,3453.0,1.0,0.0,6.3,4.4,108.2,44.9,1.1,2.0,2.1,4.3,12.0,29.05,0.0
60.0,1,1.6,31.86,81.49,6.2,5.8,6.2,4.4,6.3,7954.0,3.1,46.0,6.2,3.4,73.5,34.5,5.9,2.6,1.3,1.2,9.0,67.39,58.87
60.0,0,1.68,16.16,45.76,5.9,5.7,5.3,6.2,8.5,6505.0,2.1,46.0,5.8,4.3,105.9,26.6,7.1,2.6,1.8,0.3,21.0,77.29,53.83
48.0,0,1.68,26.54,74.49,7.6,6.6,3.8,0.9,1.9,7824.0,4.5,60.0,3.1,6.5,72.5,30.4,4.8,1.4,1.3,3.6,26.0,63.68,71.18
34.0,0,1.89,23.41,83.99,6.3,5.9,4.3,3.7,6.3,4272.0,4.6,10.0,9.9,0.9,77.1,23.4,8.5,2.1,3.0,0.7,22.0,78.58,66.27
34.0,0,1.73,21.19,63.77,6.3,6.2,6.1,2.0,3.4,2862.0,1.0,0.0,4.1,7.3,105.2,16.0,6.7,1.1,1.6,0.1,1.0,55.07,57.67
52.0,0,1.59,31.85,80.51,6.9,6.2,3.6,1.5,3.2,3538.0,1.0,0.0,3.3,7.5,107.3,35.4,6.1,0.6,2.3,0.3,3.0,46.18,70.14
60.0,0,1.65,40.98,112.22,5.9,4.6,5.6,5.5,7.7,5645.0,3.2,39.0,5.6,5.3,101.9,33.1,7.2,1.2,1.7,1.9,12.0,57.47,49.14
60.0,1,1.78,21.56,68.43,6.8,6.3,4.2,4.8,6.9,10537.0,3.8,100.0,4.1,6.8,69.0,23.1,5.7,1.4,1.6,1.9,41.0,77.19,70.04
55.0,1,1.87,21.77,75.9,6.2,6.4,4.1,4.7,6.7,5133.0,4.2,24.0,5.9,4.7,81.1,27.2,0.0,0.0,0.9,0.6,27.0,64.75,53.73
48.0,1,1.57,23.81,58.93,6.8,6.0,6.7,5.4,6.6,9733.0,3.0,100.0,7.4,1.5,93.1,34.9,4.0,2.4,2.4,2.6,28.0,91.26,59.13
22.0,0,1.55,30.28,72.72,6.3,5.2,4.1,3.3,5.0,6272.0,3.1,47.0,8.0,3.7,73.0,31.8,7.4,0.0,2.8,3.0,5.0,62.49,51.74
26.0,0,1.85,22.48,76.9,4.7,2.8,7.0,3.4,5.4,4047.0,1.0,0.0,7.6,4.2,117.4,13.3,3.4,4.2,1.5,5.1,8.0,33.55,40.75
60.0,1,1.73,24.33,72.92,6.0,5.9,6.2,7.3,7.9,5988.0,3.6,39.0,5.4,4.4,42.0,26.9,4.6,3.0,1.1,1.8,10.0,71.18,50.46
47.0,0,1.63,20.58,54.7,5.8,5.0,8.3,3.6,5.2,7757.0,2.2,54.0,6.1,3.5,74.4,23.7,2.9,1.2,2.5,3.0,3.0,73.94,9.97
18.0,0,1.74,24.07,73.1,5.4,5.5,3.9,5.1,7.5,4151.0,1.0,0.0,6.8,3.8,79.8,33.9,8.6,1.5,1.0,2.8,0.0,49.08,61.78
23.0,1,1.49,41.46,91.93,8.3,6.9,1.0,4.0,4.7,6554.0,2.8,47.0,2.5,8.1,40.0,33.2,8.4,1.8,2.7,0.6,44.0,57.12,98.92
49.0,0,1.7,26.54,76.73,7.7,7.3,4.1,1.2,4.4,8744.0,1.0,72.0,7.1,2.7,62.1,35.5,3.2,0.9,1.5,0.7,4.0,90.77,62.48
18.0,1,1.73,28.33,84.43,6.9,6.4,5.2,0.9,4.2,6798.0,2.0,47.0,3.1,5.7,102.5,16.1,5.3,1.7,1.3,1.3,4.0,64.43,66.47
26.0,1,1.77,21.11,66.44,6.1,5.7,7.7,3.1,3.9,5677.0,2.1,28.0,10.0,0.3,90.6,18.7,3.6,1.4,2.1,0.0,1.0,85.52,40.28
44.0,0,1.62,31.0,81.25,5.2,5.6,6.8,5.6,8.9,3936.0,2.4,11.0,5.2,5.4,121.5,33.9,6.2,1.4,1.4,0.7,40.0,36.85,52.77
51.0,0,1.71,25.47,74.19,7.0,6.4,1.8,5.2,7.0,6033.0,3.8,34.0,5.6,5.1,120.9,20.3,6.0,1.7,1.6,1.3,13.0,70.37,72.36
49.0,1,1.63,21.08,55.74,5.3,4.7,5.6,5.4,7.8,4161.0,1.0,0.0,4.5,5.9,98.7,12.8,6.6,0.2,2.2,0.2,16.0,39.26,50.47
29.0,0,1.72,25.26,74.78,7.8,7.1,1.0,2.5,4.0,6009.0,3.5,22.0,4.7,5.0,96.3,29.3,5.7,1.5,0.5,0.3,36.0,67.63,89.5
51.0,0,1.63,20.79,55.12,5.9,4.8,6.5,6.4,9.3,4794.0,3.6,19.0,10.0,1.0,91.3,20.6,10.9,1.7,3.0,1.2,6.0,84.78,50.69
29.0,1,1.67,21.76,60.51,6.3,5.0,6.8,2.6,5.0,7222.0,3.7,35.0,7.9,2.2,40.0,39.3,2.9,1.6,2.0,2.6,15.0,70.01,42.91
33.0,0,1.62,27.74,72.84,5.4,4.6,6.2,4.3,5.5,5227.0,1.0,16.0,2.9,6.6,62.1,27.4,1.6,1.3,1.2,3.6,1.0,28.99,34.98
53.0,1,1.75,24.26,74.46,6.7,6.4,5.6,4.0,4.8,3707.0,3.0,8.0,9.0,0.8,92.0,26.3,4.2,2.6,1.4,1.6,3.0,73.31,52.16
49.0,1,1.77,16.67,52.16,8.0,7.1,4.7,3.7,4.3,7083.0,1.2,58.0,8.4,0.0,102.3,22.0,1.9,1.1,2.6,1.3,27.0,100.0,63.03
58.0,0,1.68,30.36,85.81,6.0,5.2,4.8,6.0,8.2,6603.0,3.5,32.0,5.4,4.4,95.8,37.7,2.0,1.7,2.4,1.0,22.0,60.28,47.13
49.0,0,1.7,27.09,78.58,6.5,6.3,6.4,2.9,5.5,5586.0,1.0,16.0,6.6,4.1,72.2,27.9,3.0,2.8,2.8,0.4,6.0,73.11,50.92
45.0,0,1.58,23.68,59.43,5.8,5.9,5.1,2.0,4.6,7014.0,2.8,50.0,6.0,4.4,108.7,21.7,3.2,1.4,1.6,0.3,7.0,75.99,52.84
22.0,0,1.68,16.71,46.94,4.8,2.9,7.0,4.0,5.9,5122.0,3.5,17.0,9.9,1.6,119.6,18.6,3.1,1.7,2.2,3.1,11.0,53.48,31.38
35.0,0,1.7,23.58,67.83,6.8,6.1,4.9,3.4,4.2,5644.0,1.9,37.0,4.4,5.3,108.8,24.4,6.0,1.4,2.3,1.3,0.0,66.71,64.2
30.0,1,1.91,17.36,63.31,5.0,4.0,5.8,9.1,10.4,8418.0,4.0,63.0,6.3,4.2,109.8,17.2,4.0,2.7,2.4,3.1,4.0,52.72,36.37
29.0,0,1.61,27.62,71.7,7.0,6.3,4.0,5.0,8.2,4634.0,3.5,19.0,5.1,5.6,78.8,33.2,4.6,1.2,2.7,2.4,4.0,64.59,57.03
64.0,1,1.82,19.55,64.55,7.5,7.1,2.1,3.4,4.9,4760.0,3.4,6.0,3.1,9.2,111.5,10.5,6.8,2.8,1.6,0.4,4.0,54.89,75.58
36.0,1,1.78,12.59,39.89,6.7,6.2,6.4,2.4,4.6,6345.0,3.7,28.0,10.0,0.1,92.9,23.9,3.5,1.4,1.9,1.4,25.0,83.66,44.88
60.0,1,1.72,21.63,64.17,7.0,6.0,3.8,1.2,2.1,4024.0,1.0,0.0,3.6,5.3,100.2,29.9,4.5,0.6,1.6,1.2,5.0,59.26,60.14
48.0,1,1.84,19.31,65.42,5.9,5.4,5.6,2.5,4.8,6007.0,3.2,25.0,6.4,4.4,97.3,27.7,5.7,2.2,2.0,1.1,3.0,66.26,44.51
55.0,0,1.73,26.57,79.5,5.1,5.1,8.6,4.2,5.7,6082.0,3.0,19.0,2.5,9.3,87.6,19.3,1.1,1.2,2.4,1.6,11.0,44.67,7.18
42.0,1,1.73,19.86,59.53,4.3,2.0,5.4,6.1,9.2,4134.0,1.0,0.0,5.2,4.5,72.8,30.3,0.2,2.1,1.0,8.0,30.0,22.86,38.69
45.0,1,1.7,33.1,95.18,5.3,4.3,5.3,5.7,8.5,6037.0,2.3,35.0,6.8,4.0,88.4,17.9,5.7,0.0,2.7,3.4,4.0,37.52,37.78
41.0,0,1.8,12.78,41.33,6.0,3.6,5.3,4.3,5.8,5702.0,1.8,29.0,4.4,6.9,109.7,24.8,6.0,1.5,1.3,4.7,1.0,40.86,36.97
27.0,0,1.79,28.06,89.67,7.6,7.0,4.5,3.5,5.4,7915.0,2.7,71.0,7.2,3.8,81.2,30.2,9.1,1.0,1.8,0.1,7.0,85.46,74.63
52.0,1,1.65,24.48,66.64,6.1,4.7,7.5,4.4,5.9,5806.0,2.6,36.0,5.5,4.7,107.9,28.7,5.3,0.4,2.7,0.3,21.0,72.41,39.93
31.0,0,1.59,32.61,82.89,5.7,5.3,6.6,3.2,3.8,6558.0,2.3,39.0,8.3,1.0,104.7,19.6,6.6,0.9,2.2,0.2,12.0,74.29,51.93
19.0,0,1.68,25.11,71.2,7.2,6.6,6.1,6.6,7.7,8034.0,3.9,69.0,8.7,1.2,84.0,34.6,4.6,0.9,2.2,0.6,25.0,92.17,56.31
48.0,0,1.64,32.54,87.09,6.1,5.9,5.4,3.7,5.9,5076.0,1.8,15.0,4.8,5.6,117.8,25.7,5.6,1.5,1.3,1.2,48.0,50.36,67.96
26.0,0,1.69,22.34,64.19,8.0,6.2,3.7,3.9,6.2,5504.0,2.8,37.0,6.2,4.8,82.9,30.9,8.3,0.1,1.4,2.1,24.0,67.34,72.74
62.0,1,1.8,16.54,53.52,6.8,6.2,5.5,0.7,2.8,3954.0,1.0,0.0,6.4,4.0,120.2,37.2,0.8,1.8,2.6,1.4,14.0,66.46,55.76
63.0,1,1.66,33.0,91.31,6.1,5.2,4.5,3.7,5.4,8007.0,3.9,58.0,7.2,2.4,98.7,33.9,5.8,2.9,1.6,4.7,10.0,59.12,53.4
61.0,1,1.7,23.73,68.3,5.8,3.6,3.6,5.3,8.2,5442.0,4.2,33.0,6.0,4.5,89.7,34.0,9.3,1.8,1.7,5.6,1.0,53.79,50.69
35.0,0,1.7,25.23,73.32,5.8,4.8,4.0,2.4,4.5,4414.0,2.4,7.0,6.4,4.5,72.2,26.5,5.6,2.3,2.6,0.4,60.0,70.13,80.28
19.0,0,1.77,28.32,88.52,6.6,5.3,5.4,2.9,5.6,6450.0,3.8,56.0,5.5,4.9,88.2,31.4,8.3,2.6,1.4,3.8,7.0,63.6,56.45
62.0,0,1.52,23.59,54.52,7.3,5.8,5.8,5.2,5.4,3347.0,1.0,0.0,6.2,2.9,85.9,26.7,3.7,2.7,2.2,1.3,2.0,69.05,47.25
38.0,0,1.65,28.94,78.93,6.4,5.4,3.5,1.8,1.0,5913.0,2.7,25.0,8.6,1.2,64.8,15.3,4.9,3.4,2.0,1.2,16.0,80.46,68.16
63.0,0,1.72,20.75,61.15,6.2,5.5,3.8,5.6,7.9,7720.0,2.8,65.0,7.3,3.7,85.6,27.4,5.1,1.0,2.0,3.1,5.0,73.24,52.33
63.0,1,1.8,21.09,68.02,7.1,7.6,3.9,3.2,3.8,6356.0,2.4,24.0,7.4,1.2,73.9,27.1,0.6,0.8,1.7,0.2,13.0,80.96,58.56
58.0,0,1.66,25.78,71.08,6.0,4.0,5.9,3.4,5.2,4920.0,2.6,12.0,7.4,0.5,101.7,29.7,2.7,2.3,1.7,4.3,13.0,66.42,39.81
32.0,1,1.55,19.77,47.5,7.6,6.1,4.4,2.3,4.0,5687.0,2.5,24.0,5.7,5.8,116.1,24.0,2.8,2.2,1.4,2.2,9.0,61.12,53.9
36.0,0,1.75,19.05,58.32,5.5,4.0,4.4,4.6,8.2,3462.0,1.0,0.0,6.6,3.9,65.5,18.9,6.6,2.3,2.3,4.2,27.0,55.4,58.9
58.0,0,1.65,33.19,90.27,4.9,1.6,6.3,7.7,10.1,6140.0,3.9,39.0,3.8,6.8,124.2,30.3,6.7,3.4,1.6,10.0,5.0,14.46,30.67
33.0,0,1.6,32.34,83.29,6.2,6.5,4.6,5.2,7.3,4660.0,2.8,17.0,8.5,0.4,87.4,14.5,5.6,1.5,2.6,1.5,9.0,74.6,55.61
26.0,1,1.65,25.36,69.06,7.3,6.5,3.3,2.7,5.5,5281.0,3.2,30.0,1.0,9.7,70.5,36.7,6.6,1.9,1.9,0.2,12.0,56.66,61.6
44.0,1,1.69,25.93,73.65,6.9,6.2,3.3,5.7,8.1,6158.0,3.2,30.0,5.8,4.4,105.2,23.1,4.7,0.5,1.4,0.4,16.0,74.17,67.98
62.0,1,1.65,24.04,65.59,7.7,7.7,3.7,3.5,5.1,6717.0,3.1,38.0,8.3,0.1,81.1,27.0,7.4,3.6,1.9,0.8,23.0,89.06,85.57
51.0,0,1.52,38.92,90.35,5.4,5.5,7.3,6.1,9.1,6301.0,3.1,35.0,3.3,8.2,88.4,29.5,5.0,1.2,1.8,0.2,8.0,39.08,35.56
45.0,0,1.77,21.34,66.99,7.1,6.1,2.6,5.2,6.1,5885.0,2.7,38.0,6.8,3.4,81.9,29.7,5.1,1.2,2.6,3.4,16.0,66.92,64.46
23.0,1,1.8,22.63,73.48,6.1,5.2,4.8,0.5,2.8,4165.0,1.0,0.0,4.6,5.0,73.7,13.7,4.5,1.2,1.8,0.7,2.0,59.26,54.53
47.0,0,1.75,28.4,87.19,6.2,3.5,3.0,2.5,2.9,6419.0,3.8,56.0,5.3,4.4,104.5,31.6,6.4,0.9,1.8,7.4,40.0,48.21,70.78
65.0,1,1.61,22.54,58.34,5.9,4.5,4.6,5.4,7.6,7706.0,3.0,51.0,7.9,0.1,84.3,27.4,4.2,0.8,2.8,2.4,7.0,80.56,40.44
25.0,0,1.68,32.93,93.38,6.1,6.1,6.7,4.2,6.4,4718.0,2.6,23.0,6.4,4.2,61.3,19.9,7.0,1.0,2.3,0.4,20.0,62.6,43.28
42.0,0,1.7,16.29,47.04,6.4,6.3,5.7,2.5,6.1,7391.0,2.9,66.0,1.9,8.3,101.0,19.0,2.7,0.1,3.0,1.3,0.0,71.05,41.06
59.0,0,1.75,30.91,94.44,7.2,6.1,5.2,3.0,3.5,5293.0,3.4,21.0,4.0,5.8,65.9,22.3,2.8,0.7,2.8,1.3,3.0,56.97,44.67
53.0,0,1.75,20.95,64.41,7.2,6.2,3.7,1.1,2.5,8353.0,4.5,71.0,8.0,3.3,66.9,14.6,6.4,3.4,1.5,1.4,10.0,82.19,74.22
51.0,1,1.64,24.63,66.36,6.7,5.7,1.8,3.9,6.7,8980.0,1.6,84.0,6.9,1.7,113.9,38.8,4.8,2.2,2.6,1.5,32.0,86.08,76.25
51.0,0,1.71,14.3,41.65,4.8,4.1,8.0,7.3,9.7,6230.0,3.7,46.0,9.5,0.0,66.1,36.9,4.1,2.4,2.9,0.1,11.0,72.31,6.13
35.0,0,1.74,20.95,63.18,7.0,5.6,2.4,5.2,7.4,5628.0,4.1,18.0,9.4,0.0,43.7,28.6,6.8,2.7,2.9,2.3,40.0,78.44,76.17
32.0,0,1.82,16.49,54.4,5.3,5.2,5.9,7.3,8.3,4915.0,1.5,29.0,5.3,4.4,102.5,23.2,3.8,3.3,2.6,1.3,10.0,53.02,53.61
56.0,0,1.76,19.74,60.89,6.1,4.5,6.5,5.3,6.7,7409.0,2.8,69.0,10.0,0.1,83.9,23.4,4.6,0.0,2.6,3.1,10.0,90.17,41.88
56.0,1,1.76,21.86,67.94,4.3,3.5,8.2,5.5,8.8,3947.0,1.0,0.0,6.0,4.4,85.6,31.1,7.8,0.3,1.8,3.4,2.0,35.38,7.15
59.0,1,1.71,28.96,84.37,6.9,5.7,3.2,7.0,8.9,4976.0,3.4,27.0,4.1,5.6,83.7,39.1,8.1,0.7,1.5,0.5,24.0,62.95,76.24
61.0,1,1.81,22.25,73.11,6.4,6.0,4.6,4.6,6.9,6145.0,2.6,26.0,4.7,4.4,94.6,20.4,8.1,1.0,1.8,0.1,4.0,68.59,55.02
42.0,1,1.73,24.85,74.62,7.1,5.7,6.1,3.7,5.6,3816.0,2.9,7.0,1.5,10.0,74.9,16.1,4.4,1.2,1.0,2.4,34.0,52.92,52.12
42.0,0,1.63,20.13,53.57,6.5,3.3,4.3,5.5,6.4,8534.0,2.6,63.0,9.2,3.2,119.5,37.4,7.5,1.1,2.8,7.6,36.0,68.33,60.2
56.0,1,1.81,17.29,56.79,5.7,5.6,6.0,6.2,9.1,7180.0,3.7,44.0,9.2,1.0,60.5,10.7,3.1,1.7,1.8,1.2,43.0,87.29,45.48
49.0,0,1.76,31.46,96.98,6.3,6.3,4.0,3.3,5.8,4661.0,3.2,1.0,4.0,5.3,98.9,16.9,3.2,1.5,2.8,0.6,11.0,55.67,65.36
51.0,0,1.66,21.28,58.97,8.0,6.8,5.7,2.9,7.2,8051.0,3.2,52.0,5.5,5.9,102.8,23.0,0.3,0.8,1.3,0.3,17.0,77.36,45.4
55.0,1,1.66,34.35,94.84,6.4,5.8,3.5,4.2,5.2,5135.0,3.2,18.0,6.2,2.4,74.8,12.5,8.3,0.0,2.6,0.7,23.0,65.16,66.94
60.0,0,1.72,22.33,66.35,5.8,5.5,5.4,5.2,8.1,3946.0,3.6,8.0,4.1,5.6,69.5,33.9,3.3,0.5,1.7,0.8,2.0,60.56,42.77
34.0,1,1.74,23.21,70.03,6.9,5.3,2.6,5.2,5.9,5051.0,2.7,18.0,2.5,6.8,110.3,31.9,4.7,1.0,1.2,1.1,14.0,50.27,64.11
36.0,0,1.72,29.23,86.06,6.8,5.1,4.8,1.9,4.0,6628.0,4.7,49.0,5.6,3.3,70.2,20.4,3.2,1.3,3.0,2.1,1.0,73.95,48.01
22.0,1,1.72,29.94,89.08,4.5,5.1,8.2,6.9,9.8,7053.0,1.8,57.0,5.4,4.4,77.9,35.2,6.4,0.4,2.7,0.6,10.0,59.53,7.97
45.0,1,1.84,20.27,68.34,7.2,6.2,5.0,3.0,3.0,5299.0,1.3,20.0,5.2,3.9,107.7,36.6,4.2,1.0,2.1,0.1,3.0,73.01,50.35
20.0,1,1.79,20.13,64.18,5.5,5.7,8.1,3.6,5.4,6558.0,1.2,45.0,6.4,3.6,90.7,24.1,2.4,0.4,2.0,0.9,3.0,60.69,20.85
40.0,1,1.72,23.51,69.16,7.4,5.1,5.0,2.6,4.1,8574.0,1.0,83.0,8.9,1.2,54.1,21.4,5.9,1.4,2.3,3.9,7.0,86.83,50.47
44.0,1,1.78,23.82,75.07,4.6,4.6,5.8,8.0,9.3,3877.0,1.0,0.0,5.4,4.0,124.9,43.1,2.1,0.4,2.1,1.4,8.0,47.99,40.52
31.0,0,1.62,31.87,83.37,4.5,2.5,7.5,4.4,6.7,5809.0,3.6,26.0,6.3,3.3,79.4,30.8,3.3,0.7,1.5,6.7,15.0,16.22,3.56
